DIRECTORIO	SECUENCIA_P	ORDEN	HOGAR	REGIS	P6016	P6020	P6030S1	P6030S3	P6040	P6050	P6080	P6080S1	P6070	P6081	P6081S1	P6083	P6083S1	P6071	P6071S1	P3147S1	P3147S2	P3147S3	P3147S4	P3147S5	P3147S6	P3147S7	P3147S8	P3147S9	P3147S10	P3147S11	P3147S10A1	P3246	P6090	P6140	P6150	P6100	P6110	P6120	P6125	P6160	P6170	P6175	P6210	P6210S1	P6220	P6269	AREA	ESC	MES	DPTO	fex_c_2011
5337367	1	1	1	10	1	2	4	1947	73	1	6	 	6	3	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	2	1	 	 	1	2	88000	2	1	2	 	5	11	2	 	17	11	1	17	157,7974395
5337367	1	2	1	10	2	2	6	1948	72	5	6	 	6	3	 	3	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	1	 	 	1	2	96000	2	1	2	 	5	11	2	 	17	11	1	17	157,7974395
5337368	1	1	1	10	1	2	9	1961	59	1	6	 	4	3	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	2	1	 	 	1	5	 	2	1	2	 	6	5	4	 	54	16	1	54	360,5551147
5337369	1	1	1	10	1	1	1	1970	51	1	6	 	3	3	 	2	 	1	2	 	 	 	 	 	 	 	 	 	 	1	 	2	1	 	 	2	5	 	2	1	2	 	4	8	 	 	54	8	1	54	188,773786
5337369	1	2	1	10	2	2	2	1973	47	2	6	 	3	3	 	2	 	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	1	1	120000	2	1	2	 	6	8	5	 	54	19	1	54	188,773786
5337369	1	3	1	10	2	2	11	1994	26	3	6	 	6	1	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	3	 	 	2	1	2	 	6	5	4	 	54	16	1	54	188,773786
5337369	1	4	1	10	2	2	12	2016	4	4	6	 	 	2	 	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	3	 	 	2	2	2	 	1	0	 	 	54	0	1	54	188,773786
5337369	1	5	1	10	2	2	6	2009	11	3	6	 	6	1	1	1	2	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	1	 	 	2	5	 	2	1	1	1	4	6	 	 	54	6	1	54	188,773786
5337370	1	1	1	10	2	1	3	1999	21	1	6	 	2	2	 	2	 	1	2	 	 	 	 	 	 	 	 	 	 	1	 	2	2	2	 	 	 	 	2	1	2	 	5	11	2	 	54	11	1	54	558,2745385
5337370	1	2	1	10	2	2	4	1996	24	2	6	 	2	2	 	2	 	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	3	 	 	2	1	2	 	5	11	2	 	54	11	1	54	558,2745385
5337370	1	3	1	10	2	1	4	2018	2	3	6	 	 	1	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	3	 	 	2	 	 	 	 	 	 	 	54	 	1	54	558,2745385
5337371	1	1	1	10	1	2	5	1958	62	1	6	 	4	3	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	2	1	 	 	2	2	99	2	1	2	 	6	5	4	 	17	16	1	17	202,267603
5337371	1	2	1	10	2	2	11	1980	40	3	6	 	6	2	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	1	1	35112	2	1	2	 	6	5	4	 	17	16	1	17	202,267603
5337371	1	3	1	10	2	2	7	2012	8	4	6	 	 	2	 	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	5	 	2	1	1	2	3	2	 	 	17	2	1	17	202,267603
5337372	1	1	1	10	1	2	10	1949	71	1	6	 	2	3	 	3	 	1	2	 	 	 	 	 	 	 	 	 	 	1	 	2	1	 	 	1	2	184200	2	1	2	 	6	5	4	 	17	16	1	17	186,811066
5337372	1	2	1	10	2	1	11	1935	85	2	6	 	2	3	 	3	 	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	1	2	99	2	1	2	 	5	11	2	 	17	11	1	17	186,811066
5337373	1	1	1	10	1	1	4	1979	41	1	6	 	2	2	 	2	 	1	2	 	 	 	 	 	 	 	 	 	 	1	 	2	1	 	 	1	3	160000	2	1	2	 	6	2	3	 	54	13	1	54	293,0110248
5337373	1	2	1	10	2	2	9	1993	27	2	6	 	2	2	 	2	 	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	3	 	 	2	1	2	 	6	5	4	 	54	16	1	54	293,0110248
5337375	1	1	1	10	1	2	3	1972	48	1	6	 	4	3	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	2	1	 	 	3	 	 	2	1	2	 	4	8	 	 	54	8	1	54	202,4032016
5337375	1	2	1	10	2	2	12	1990	30	3	6	 	6	2	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	3	 	 	2	1	2	 	6	2	3	 	54	13	1	54	202,4032016
5337376	1	1	1	10	1	2	5	1930	90	1	6	 	5	3	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	2	1	 	 	1	2	70224	2	1	2	 	3	5	 	 	17	5	1	17	157,7974395
5337376	1	2	1	10	2	2	4	1963	57	3	6	 	6	3	 	1	1	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	1	 	 	1	1	52000	2	1	2	 	6	2	3	 	17	13	1	17	157,7974395
5337377	1	1	1	10	1	2	6	1998	22	1	6	 	2	2	 	2	 	1	2	 	 	 	 	 	 	 	 	 	 	1	 	2	1	 	 	3	 	 	2	1	2	 	4	8	 	 	54	8	1	54	519,7074016
5337377	1	2	1	10	2	1	7	1994	26	2	6	 	2	2	 	2	 	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	3	 	 	2	1	2	 	5	11	2	 	54	11	1	54	519,7074016
5337377	1	3	1	10	1	1	6	2015	5	3	6	 	 	1	2	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	3	 	 	2	2	1	1	2	0	 	 	54	0	1	54	519,7074016
5337377	1	4	1	10	1	2	7	2018	2	3	6	 	 	1	2	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	3	 	 	2	 	 	 	 	 	 	 	54	 	1	54	519,7074016
5337379	1	1	1	10	1	2	8	1969	51	1	6	 	5	2	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	2	1	 	 	1	1	100000	2	1	1	2	6	2	3	 	17	13	1	17	251,7574774
5337379	1	2	1	10	1	1	5	2016	4	4	6	 	 	2	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	5	 	2	2	1	2	2	0	 	 	17	0	1	17	251,7574774
5337382	1	1	1	10	1	1	1	1941	80	1	6	 	3	3	 	3	 	1	2	 	 	 	 	 	 	 	 	 	 	1	 	2	1	 	 	2	2	320000	2	1	2	 	5	11	2	 	17	11	1	17	157,6995872
5337382	1	2	1	10	2	2	5	1953	67	2	6	 	3	3	 	3	 	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	2	5	 	2	1	2	 	4	8	 	 	17	8	1	17	157,6995872
5337382	1	3	1	10	3	2	1	1983	38	3	6	 	6	1	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	2	1	2	 	 	 	2	1	2	 	6	8	5	 	17	19	1	17	157,6995872
5337384	1	1	1	10	1	2	5	1985	35	1	6	 	2	3	 	2	 	1	2	1	 	 	 	 	 	 	 	 	1	 	RESTRICCION PARA SALIR	2	1	 	 	1	1	35112	2	1	2	 	5	11	2	 	73	11	1	73	385,9170954
5337384	1	2	1	10	2	1	8	1981	39	2	6	 	2	2	 	3	 	1	1	1	 	 	1	 	 	 	 	 	 	 	 	 	1	 	 	1	1	35112	2	1	2	 	5	11	2	 	73	11	1	73	385,9170954
5337384	1	3	1	10	1	1	5	2010	10	3	6	 	6	1	2	1	1	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	1	 	 	1	5	 	2	1	2	 	3	4	 	 	73	4	1	73	385,9170954
5337385	1	1	1	10	1	2	8	1946	74	1	6	 	5	3	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	1	1	 	 	1	2	204000	2	1	2	 	3	4	 	 	73	4	1	73	359,6908653
5337385	1	2	1	10	2	2	2	1966	54	3	6	 	3	3	 	1	1	1	3	 	 	1	1	1	 	 	 	1	 	 	 	 	1	 	 	1	5	 	2	1	2	 	6	2	3	 	73	13	1	73	359,6908653
5337385	1	3	1	10	3	1	7	1963	57	5	6	 	3	2	 	2	 	1	2	 	 	1	1	1	 	 	 	 	 	 	 	 	1	 	 	1	5	 	2	1	2	 	5	11	2	 	73	11	1	73	359,6908653
5337385	1	4	1	10	4	1	4	1996	24	4	6	 	6	1	3	1	2	 	 	 	 	 	1	1	 	 	 	 	 	 	 	 	2	1	12	 	 	 	2	1	2	 	6	1	3	 	73	12	1	73	359,6908653
5337385	1	5	1	10	2	1	4	1967	53	3	6	 	4	3	 	1	1	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	1	 	 	1	1	35112	2	1	2	 	5	11	2	 	73	11	1	73	359,6908653
5337385	1	6	1	10	6	2	12	2005	15	4	6	 	6	1	5	2	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	1	 	 	1	5	 	2	1	1	1	4	9	 	 	73	9	1	73	359,6908653
5337385	1	7	1	10	7	1	3	2009	11	4	6	 	6	1	5	2	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	1	 	 	1	5	 	2	1	1	1	4	0	 	 	73	5	1	73	359,6908653
5337385	1	8	1	10	8	2	5	1999	21	9	6	 	6	2	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	1	1	35112	2	1	2	 	5	11	2	 	73	11	1	73	359,6908653
5337386	1	1	1	10	1	1	4	1983	37	1	6	 	3	2	 	2	 	1	2	 	 	 	1	 	 	 	 	 	 	 	 	2	1	 	 	1	1	72000	2	1	2	 	6	5	4	 	73	16	1	73	322,7100886
5337386	1	2	1	10	2	2	9	1993	27	2	6	 	3	2	 	2	 	1	1	 	 	 	 	 	 	 	1	 	 	 	 	 	1	 	 	1	5	 	2	1	1	1	6	5	3	 	73	16	1	73	322,7100886
5337386	1	3	1	10	2	2	6	2015	5	3	6	 	 	1	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	5	 	2	2	1	2	2	0	 	 	73	0	1	73	322,7100886
5337387	1	1	1	10	1	1	10	1985	35	1	6	 	2	2	 	2	 	1	2	 	 	 	1	 	 	 	 	 	 	 	 	2	1	 	 	1	1	35112	2	1	2	 	5	11	2	 	73	11	1	73	471,2313026
5337387	1	2	1	10	2	2	12	1991	29	2	6	 	2	2	 	2	 	1	1	 	 	 	 	1	 	 	 	 	 	 	 	 	2	1	12	 	 	 	2	1	2	 	4	9	 	 	73	9	1	73	471,2313026
5337387	1	3	1	10	1	2	10	2015	5	3	6	 	 	2	 	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	1	12	 	 	 	2	2	2	 	1	0	 	 	73	0	1	73	471,2313026
5337387	1	4	1	10	1	1	12	2017	3	3	6	 	 	1	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	5	 	2	2	2	 	1	0	 	 	73	0	1	73	471,2313026
5337388	1	1	1	10	1	2	11	1970	50	1	6	 	5	3	 	2	 	 	 	1	 	 	 	 	 	 	 	 	1	 	DILIGENCIAS MEDICAS	1	1	 	 	3	 	 	2	1	2	 	3	1	 	 	73	1	1	73	641,5116426
5337388	1	2	1	10	2	1	4	2001	19	3	6	 	6	2	 	1	1	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	1	 	 	3	 	 	2	1	2	 	4	9	 	 	73	9	1	73	641,5116426
5337388	1	3	1	10	3	2	8	2004	16	3	6	 	6	3	 	1	1	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	1	 	 	3	 	 	2	1	1	1	6	0	2	2	73	11	1	73	641,5116426
5337388	1	4	1	10	2	1	8	2007	13	3	6	 	6	3	 	1	1	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	1	 	 	3	 	 	2	1	1	1	4	7	 	 	73	7	1	73	641,5116426
5337388	1	5	1	10	2	1	5	2011	9	3	6	 	 	3	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	3	 	 	2	1	1	1	3	4	 	 	73	4	1	73	641,5116426
5337388	1	6	1	10	6	2	3	2006	14	4	6	 	6	2	 	2	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	1	 	 	3	 	 	2	1	1	1	4	9	 	 	73	9	1	73	641,5116426
